ID,aorkey,CTP_NAME,RA_hms,Dec_dms,z,F70_mJy,eF70_mJy,F70_flag,F100_mJy,eF100_mJy,F100_flag,F160_mJy,eF160_mJy,F160_flag,F250_mJy,eF250_mJy,F250_flag,F350_mJy,eF350_mJy,F350_flag,F500_mJy,eF500_mJy,F500_flag,EQW6p2,w1_w2,Notes
49,20313088,MCG-02-01-051,00:18:50.855,-10:22:36.595,0.0271,6848.15,145.69,P.S,7148.31,200.22,P.S,5336.09,143.11,P.S,1818.5,100.6,P.S,692.9,99.9,P.S,245.5,42.1,P.S,1.403,0.465,AGN?
50,20316160,IRAS05442+1732,05:47:11.153,+17:33:46.792,0.01862,10615.53,177.66,P.S,11005.06,243.28,P.S,7636.94,126.75,P.S,2574.2,36.6,P.S,930.4,31.6,P.S,322.7,35.9,P.S,1.986,0.479,AGN?
51,20320768,ESO467-G027,22:14:39.880,-27:27:50.959,0.0174,6386.05,194.64,Ext.,10985.9,334.99,Ext.,11159.27,339.08,Ext.,4903.65,149.87,Ext.,1974.93,62.95,Ext.,759.67,31.32,Ext.,0.603,0.268,SF
52,20323584,ESO286-G035,21:04:11.111,-43:35:34.685,0.01736,8208.41,205.18,P.S,10617.41,323.45,Ext.,9460.71,178.91,P.S,3752.2,61.7,P.S,1356.36,46.17,Ext.,0.0,0.0,N/A,1.017,0.418,AGN?
53,20326656,ESO507-G070,13:02:52.390,-23:55:18.139,0.0217,16344.42,233.21,P.S,16738.41,308.17,P.S,10419.19,152.23,P.S,3802.7,46.5,P.S,1425.6,30.7,P.S,475.1,24.1,P.S,1.035,0.46,AGN?
54,20327168,UGC11041,17:54:51.943,+34:46:34.208,0.01628,6783.22,204.97,Ext.,10996.73,338.7,Ext.,10744.17,327.98,Ext.,4486.81,136.89,Ext.,1889.56,60.18,Ext.,669.4,27.1,P.S,1.028,0.33,SF
55,20329216,IC0214,02:14:05.471,+05:10:24.592,0.03022,5289.38,167.17,Ext.,7241.93,260.51,Ext.,6067.5,194.95,Ext.,2234.8,71.23,Ext.,898.4,33.1,P.S,344.1,33.0,P.S,0.893,0.363,SF
56,20333056,IRASF03217+4022,03:25:05.379,+40:33:31.679,0.02337,9132.19,150.0,P.S,10468.63,217.13,P.S,7818.35,110.71,P.S,3150.5,38.6,P.S,1204.1,32.4,P.S,378.7,20.0,P.S,1.321,0.46,AGN?
57,20334592,ESO069-IG006,16:38:11.847,-68:26:07.941,0.04697,9362.75,152.87,P.S,12643.23,262.83,P.S,10568.18,152.76,P.S,4516.5,55.2,P.S,1727.5,36.7,P.S,568.8,27.8,P.S,1.309,0.503,AGN?
58,20337152,NGC0992,02:37:25.498,+21:06:04.018,0.01381,10620.18,319.41,Ext.,14756.94,446.26,Ext.,12849.17,389.57,Ext.,4957.24,150.69,Ext.,2024.16,63.58,Ext.,657.7,28.8,P.S,0.981,0.374,SF
