ID,BAT_NAME,CTP_NAME,RA_hms,Dec_dms,z,logLx,Type,logNH,F70_mJy,eF70_mJy,F70_flag,F100_mJy,eF100_mJy,F100_flag,F160_mJy,eF160_mJy,F160_flag,F250_mJy,eF250_mJy,F250_flag,F350_mJy,eF350_mJy,F350_flag,F500_mJy,eF500_mJy,F500_flag
83,SWIFT J1652.9+0223,NGC6240,16:52:58.896,+02:24:03.240,0.024,43.9,Sy1.9,24.25,25705.32,432.73,HPDP,25291.57,591.08,HPDP,17352.44,356.62,HPDP,6042.6,104.1,HPDP,2369.6,61.1,HPDP,823.3,35.4,HPDP
84,SWIFT J1717.1-6249,NGC6300,17:16:59.472,-62:49:14.160,0.003,42.4,Sy2,23.31,21965.1,717.76,Ext.,0.0,0.0,N/A,46698.04,1440.58,Ext.,29146.65,881.61,Ext.,12193.13,372.57,Ext.,4314.37,143.31,Ext.
85,SWIFT J2148.3-3454,NGC7130,21:48:19.512,-34:57:04.320,0.016,43.0,Sy1.9,24.22,17282.83,519.99,Ext.,0.0,0.0,N/A,18991.57,573.03,Ext.,7880.29,238.58,Ext.,3115.5,74.6,HPDP,1077.8,39.0,HPDP
86,SWIFT J2201.9-3152,NGC7172,22:02:01.920,-31:52:11.280,0.008,43.4,Sy2,22.91,7039.36,216.94,Ext.,0.0,0.0,N/A,12467.48,378.47,Ext.,5787.29,176.5,Ext.,2383.79,75.07,Ext.,764.9,34.65,Ext.
87,SWIFT J2303.3+0852,NGC7469,23:03:15.624,+08:52:26.400,0.016,43.6,Sy1.5,20.53,29631.73,570.24,HPDP,32226.92,799.23,HPDP,23237.99,437.32,HPDP,8488.2,127.5,HPDP,3226.2,75.3,HPDP,1045.1,73.0,HPDP
88,SWIFT J2304.9+1220,NGC7479,23:04:56.664,+12:19:22.440,0.007,42.3,Sy1.9,24.16,13687.7,497.71,Ext.,22412.18,702.64,Ext.,30180.8,937.54,Ext.,16603.99,504.3,Ext.,7236.41,225.8,Ext.,2550.63,92.45,Ext.
89,SWIFT J2318.4-4223,NGC7582,23:18:23.496,-42:22:14.160,0.005,42.6,Sy2,24.15,65266.05,1961.67,Ext.,86531.98,2600.04,Ext.,73011.57,2195.44,Ext.,30022.6,904.64,Ext.,11795.95,359.2,Ext.,3726.09,126.51,Ext.
90,SWIFT J2318.9+0013,NGC7603,23:18:56.616,+00:14:38.400,0.029,44.0,Sy1,20.0,1260.55,26.02,HPDP,0.0,0.0,N/A,2346.1,241.63,HPDP,1205.2,19.5,HPDP,560.0,19.4,HPDP,207.8,9.8,HPDP
91,SWIFT J2328.9+0328,NGC7682,23:29:03.888,+03:31:59.880,0.017,43.0,Sy2,24.27,329.07,9.8,HPDP,384.74,13.54,HPDP,1177.68,76.78,Ext.,693.87,61.45,Ext.,489.31,44.28,Ext.,266.15,32.57,Ext.
92,SWIFT J0201.0-0648,NGC788,02:01:06.456,-06:48:55.800,0.013,43.5,Sy2,23.82,523.51,13.7,HPDP,0.0,0.0,N/A,699.01,76.12,Ext.,806.18,43.3,Ext.,378.57,37.63,Ext.,137.09,18.58,Ext.
93,SWIFT J0234.1+3233,NGC973,02:34:20.112,+32:30:20.160,0.016,43.4,Sy2,22.49,0.0,0.0,N/A,3442.95,114.33,Ext.,5227.84,167.76,Ext.,3678.51,119.88,Ext.,1727.84,61.85,Ext.,712.64,38.44,Ext.
94,SWIFT J0234.6-0848,NGC985,02:34:37.776,-08:47:15.360,0.043,44.1,Sy1.5,20.92,1279.18,47.47,Ext.,0.0,0.0,N/A,1936.74,89.06,Ext.,913.33,40.74,Ext.,437.16,35.68,Ext.,143.7,27.5,HPDP
95,SWIFT J1104.8+7689,PG 1100+772,11:04:13.680,+76:58:58.080,0.311,45.2,Sy1,,73.62,5.99,HPDP,67.55,4.35,HPDP,49.38,9.03,HPDP,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,N/A
96,SWIFT J1119.6+2136,PG 1116+215,11:19:08.688,+21:19:18.120,0.176,44.9,Sy1,,85.47,5.84,HPDP,59.3,6.05,HPDP,51.42,10.92,HPDP,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,N/A
97,SWIFT J0054.9+2524,PG0052+251,00:54:52.104,+25:25:37.920,0.155,44.9,Sy1.2,20.0,74.43,4.43,HPDP,109.49,4.63,HPDP,145.89,12.41,HPDP,74.4,14.5,HPDP,40.8,13.2,HPDP,0.0,0.0,N/A
98,SWIFT J0810.9+7602,PG0804+761,08:10:58.560,+76:02:42.000,0.1,44.6,Sy1,20.64,121.23,4.89,HPDP,79.58,4.0,HPDP,40.26,9.68,HPDP,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,N/A
99,SWIFT J1152.1-1122,PG1149-110,11:52:03.552,-11:22:24.240,0.049,43.9,Sy1.2,20.79,231.45,5.71,HPDP,266.48,25.74,Ext.,271.52,13.28,HPDP,146.6,14.1,HPDP,76.5,12.2,HPDP,0.0,0.0,N/A
100,SWIFT J1204.8+2758,PG1202+282,12:04:42.096,+27:54:11.880,0.165,44.8,Sy1.5,20.0,112.1,5.55,HPDP,100.08,5.52,HPDP,73.22,14.34,HPDP,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,N/A
101,SWIFT J2359.3-6058,PKS2356-61,23:59:04.368,-60:54:59.400,0.096,44.6,Sy2,23.16,0.0,0.0,N/A,79.93,3.6,HPDP,52.19,8.65,HPDP,29.8,9.4,HPDP,0.0,0.0,N/A,0.0,0.0,N/A
102,SWIFT J1238.6+0928,SDSSJ123843.43+092736.6,12:38:43.440,+09:27:36.720,0.082,44.3,Sy2,23.6,132.96,6.22,HPDP,122.72,3.96,HPDP,116.42,10.78,HPDP,52.8,13.3,HPDP,0.0,0.0,N/A,0.0,0.0,N/A
103,SWIFT J2240.2+0801,UGC12138,22:40:17.040,+08:03:14.040,0.025,43.4,Sy1.5,20.0,914.91,21.25,HPDP,0.0,0.0,N/A,891.72,83.68,Ext.,496.54,29.93,Ext.,195.18,19.33,Ext.,77.5,20.27,Ext.
